train_accuracy,cross_val_accuracy,train_loss,cross_val_loss,time
0.9294456839561462,0.9270502328872681,0.17058144509792328,0.2076556235551834,0:06:47.497200
0.9487882256507874,0.8701762557029724,0.12525488436222076,0.5579746961593628,0:06:22.636159
0.9542656540870667,0.9440555572509766,0.11114367097616196,0.13680286705493927,0:06:16.935426
0.9594264030456543,0.9278576374053955,0.09883134812116623,0.17320576310157776,0:06:14.024657
0.9624260067939758,0.9342901110649109,0.09141935408115387,0.16689728200435638,0:06:14.185886
0.9661017656326294,0.9551234245300293,0.08281183987855911,0.115725576877594,0:06:11.132579
0.9679659605026245,0.934758186340332,0.0781104788184166,0.20068028569221497,0:06:10.944192
0.9693000316619873,0.9475060701370239,0.0750805139541626,0.14590957760810852,0:06:08.991807
0.9707719087600708,0.9393607974052429,0.07136797159910202,0.17506693303585052,0:06:16.036959
0.9731297492980957,0.9575314521789551,0.06591539829969406,0.11671770364046097,0:06:12.565386
0.9772106409072876,0.9664140343666077,0.055607788264751434,0.08685486763715744,0:06:13.430800
0.9790860414505005,0.970881998538971,0.05141955241560936,0.07446490973234177,0:06:29.080993
0.9803880453109741,0.9678264856338501,0.04787389189004898,0.08937128633260727,0:06:53.434349
0.981141984462738,0.9665751457214355,0.04583512246608734,0.08583682030439377,0:06:50.773702
0.9805583357810974,0.9543991088867188,0.04786247760057449,0.11504034698009491,0:06:46.814273
0.9820553064346313,0.9705672860145569,0.0438135527074337,0.083084836602211,0:06:47.113744
0.9822521209716797,0.969976544380188,0.04343685135245323,0.08645626157522202,0:06:55.492372
0.9830042719841003,0.9652101397514343,0.04147569462656975,0.10157404094934464,0:06:55.680440
0.9831934571266174,0.9236791729927063,0.041185759007930756,0.3440312147140503,0:06:52.917315
0.9835015535354614,0.9646596312522888,0.04038190469145775,0.09819862991571426,0:06:38.001911
0.9837454557418823,0.9724096655845642,0.03992662951350212,0.07419761270284653,0:06:45.813128
0.9848267436027527,0.9727392196655273,0.0369340181350708,0.07515442371368408,0:06:55.980541
0.98526930809021,0.9706184267997742,0.03599975258111954,0.07968674600124359,0:07:04.187076
0.9849085211753845,0.9711413979530334,0.03702063113451004,0.07985877245664597,0:06:35.401886
0.9848649501800537,0.9731809496879578,0.0370563343167305,0.06873873621225357,0:06:27.810442
0.9858480095863342,0.9710411429405212,0.03450293838977814,0.08020658046007156,0:06:38.934690
0.9864498972892761,0.9702170491218567,0.033140115439891815,0.08339454233646393,0:06:37.590153
0.9863259196281433,0.971511721611023,0.03332153335213661,0.07753591239452362,0:06:51.089613
0.9866705536842346,0.9744312763214111,0.03236094117164612,0.07599575072526932,0:06:55.294934
0.9874922633171082,0.9748311042785645,0.030308112502098083,0.07143259793519974,0:06:49.346536
0.9880457520484924,0.97663813829422,0.028939424082636833,0.07019546627998352,0:06:49.042135
0.9888184666633606,0.9765483140945435,0.02703271061182022,0.07048321515321732,0:07:04.983600
0.9890738725662231,0.9772403240203857,0.026396343484520912,0.07259983569383621,0:06:43.568238
0.9894551038742065,0.9756978750228882,0.02547367848455906,0.07798639684915543,0:06:40.651477
0.989252507686615,0.9769973754882812,0.02599613182246685,0.07474417239427567,0:06:46.440581
0.989751935005188,0.9761688709259033,0.02471325173974037,0.07909189909696579,0:06:17.426375
0.9899337291717529,0.9772824645042419,0.02423437312245369,0.07781358808279037,0:06:39.190168
0.9901418685913086,0.9747219085693359,0.023819059133529663,0.08980904519557953,0:06:10.890911
0.9902840256690979,0.9773147702217102,0.023408381268382072,0.07783720642328262,0:06:55.464836
0.9904953241348267,0.9764003753662109,0.02286873199045658,0.08147747069597244,0:06:21.058705
0.9906297326087952,0.9774270057678223,0.0225357785820961,0.08045536279678345,0:06:51.821709
0.9907273650169373,0.976262092590332,0.02230042964220047,0.0865565687417984,0:06:44.475926
0.9907593727111816,0.9771599173545837,0.02220596745610237,0.0829155296087265,0:06:22.190595
0.9909906983375549,0.9749844670295715,0.02164444327354431,0.09217386692762375,0:07:07.850213
0.9903207421302795,0.9771081209182739,0.02343868464231491,0.07972005754709244,0:06:41.668769
0.990827202796936,0.9765492081642151,0.022167030721902847,0.08186697214841843,0:06:39.119718
0.991303563117981,0.9776874780654907,0.020857857540249825,0.08078907430171967,0:06:31.295154
0.9912284016609192,0.9767714142799377,0.02111087739467621,0.08180062472820282,0:06:39.633949
0.9914863109588623,0.97712242603302,0.020414872094988823,0.0862254872918129,0:06:38.731760
0.9915429353713989,0.9662724733352661,0.020262667909264565,0.14994385838508606,0:06:25.388156
