train_accuracy,cross_val_accuracy,train_loss,cross_val_loss,time
0.9280105233192444,0.5856010317802429,0.17302770912647247,1.478060007095337,0:06:56.739881
0.948232114315033,0.7286267280578613,0.12623126804828644,2.5596179962158203,0:06:13.152445
0.9555030465126038,0.6192097067832947,0.10960396379232407,1.307375431060791,0:06:27.451391
0.9568840861320496,0.7443747520446777,0.10520517826080322,0.6351900100708008,0:06:40.107180
0.9602241516113281,0.8972375392913818,0.09741120040416718,0.39942097663879395,0:06:28.387469
0.9622127413749695,0.8263063430786133,0.09271009266376495,0.6599095463752747,0:06:17.959820
0.9625866413116455,0.7455137968063354,0.09021224081516266,0.6679152250289917,0:06:20.853253
0.9655985832214355,0.9415723085403442,0.0837230458855629,0.16499873995780945,0:06:19.623830
0.9660659432411194,0.822026252746582,0.0827619805932045,0.449476033449173,0:06:25.485463
0.9681679606437683,0.8706529140472412,0.07749459892511368,0.434691458940506,0:06:26.389186
0.9727405905723572,0.9100169539451599,0.06609605997800827,0.3482743799686432,0:06:21.702977
0.9746280908584595,0.8868789076805115,0.06187363713979721,0.2658943235874176,0:06:12.241127
0.9760022759437561,0.9521229267120361,0.05821859464049339,0.12263193726539612,0:06:18.232212
0.9767865538597107,0.9072502851486206,0.05673575773835182,0.29957786202430725,0:06:52.611498
0.9766636490821838,0.8197412490844727,0.05691009759902954,0.7633131742477417,0:06:28.323916
0.978014349937439,0.9317533373832703,0.05348176881670952,0.18831396102905273,0:06:46.832616
0.9780409336090088,0.8570802211761475,0.05338263884186745,0.3731093406677246,0:06:40.068161
0.9785786867141724,0.9545069932937622,0.05223831906914711,0.13554248213768005,0:06:36.535003
0.9797897934913635,0.9251705408096313,0.04909453168511391,0.20084631443023682,0:06:18.076154
0.9790692925453186,0.9627389907836914,0.050983916968107224,0.11362650245428085,0:06:09.865606
0.9792325496673584,0.9272014498710632,0.05078984797000885,0.28481853008270264,0:06:18.540328
0.9796770811080933,0.9430890679359436,0.049368735402822495,0.2357550859451294,0:06:16.620531
0.9800673723220825,0.8170770406723022,0.04897545650601387,0.7720059156417847,0:06:29.867697
0.9810886383056641,0.8998254537582397,0.04597117379307747,0.27909910678863525,0:06:31.355503
0.980781078338623,0.9600158929824829,0.04699908569455147,0.10734547674655914,0:06:41.343720
0.9818910360336304,0.9435634613037109,0.044171471148729324,0.21378526091575623,0:06:17.961441
0.9806349277496338,0.9268444776535034,0.04740029200911522,0.22180156409740448,0:06:28.222363
0.9815552830696106,0.9349817037582397,0.04510445147752762,0.22883549332618713,0:06:44.060603
0.982157289981842,0.8657845854759216,0.04330144822597504,0.4493468701839447,0:06:21.299018
0.9822453260421753,0.9665704965591431,0.04316265136003494,0.0868377685546875,0:06:21.274603
0.9839020371437073,0.9773107171058655,0.03906397894024849,0.06234794482588768,0:06:27.131776
0.9846466779708862,0.9729260206222534,0.03719499707221985,0.07654128223657608,0:06:42.214715
0.9845274090766907,0.9761699438095093,0.03755606710910797,0.07039917260408401,0:06:57.410348
0.9854032397270203,0.9629291892051697,0.035310596227645874,0.1150197759270668,0:06:46.864300
0.9856302738189697,0.9762099385261536,0.03471303731203079,0.06604121625423431,0:06:49.946638
0.9857271909713745,0.9591355919837952,0.034541305154561996,0.11638444662094116,0:06:24.303756
0.9860274791717529,0.9756218194961548,0.03377685695886612,0.06965897232294083,0:06:30.199135
0.9864302277565002,0.9751150608062744,0.03272811695933342,0.07060860842466354,0:06:28.914183
0.9862916469573975,0.9712887406349182,0.033195871859788895,0.08856009691953659,0:06:15.672556
0.9861946105957031,0.9586979150772095,0.033505216240882874,0.13778430223464966,0:06:30.809228
0.9868418574333191,0.9772776961326599,0.03180399909615517,0.06573183834552765,0:06:20.444508
0.9869898557662964,0.961033284664154,0.03142052888870239,0.14727316796779633,0:06:26.868193
0.9872787594795227,0.9770535230636597,0.030666137114167213,0.07285516709089279,0:06:22.510549
0.9869012236595154,0.941679835319519,0.03170684725046158,0.2629724442958832,0:06:17.820212
0.9863850474357605,0.9745330214500427,0.03301917016506195,0.08291930705308914,0:06:33.628797
0.9873547554016113,0.9780749082565308,0.030491171404719353,0.06457057595252991,0:06:32.681280
0.9876068234443665,0.9788159728050232,0.029886368662118912,0.06339267641305923,0:06:32.836353
0.987867534160614,0.9770402312278748,0.029225725680589676,0.06848561763763428,0:06:27.087185
0.9878068566322327,0.9745538234710693,0.02948167361319065,0.07860110700130463,0:06:33.329313
0.9880113005638123,0.9754813313484192,0.028896356001496315,0.07529794424772263,0:06:27.432889
