train_accuracy,cross_val_accuracy,train_loss,cross_val_loss,time
0.9182071089744568,0.8941866159439087,0.19241750240325928,4.486541748046875,0:09:43.347750
0.9371161460876465,0.9283275008201599,0.1490626484155655,0.17767783999443054,0:08:54.636485
0.9453031420707703,0.9324368238449097,0.13200516998767853,0.16505728662014008,0:09:18.561435
0.9509155750274658,0.930709183216095,0.11953284591436386,0.1777704358100891,0:08:49.390156
0.9542009830474854,0.9149195551872253,0.11174346506595612,0.2563430070877075,0:09:05.212409
0.9554905295372009,0.9283813238143921,0.10873458534479141,0.171002596616745,0:08:58.979309
0.9585146903991699,0.9365478157997131,0.10200618952512741,0.1849893480539322,0:08:45.536926
0.9598835706710815,0.9304543733596802,0.09719356149435043,0.16557550430297852,0:08:55.639931
0.962226152420044,0.9528971314430237,0.09207121282815933,0.11961743235588074,0:08:53.150139
0.9637358784675598,0.9341484308242798,0.08852548152208328,0.1556473672389984,0:08:50.382049
0.9689104557037354,0.9588245153427124,0.07580184191465378,0.09794363379478455,0:09:06.596336
0.9701718091964722,0.9583890438079834,0.07275612652301788,0.0991096943616867,0:08:55.774221
0.9715019464492798,0.9623483419418335,0.06961793452501297,0.09867168217897415,0:08:44.643389
0.9726085662841797,0.9568611979484558,0.06707260757684708,0.10292099416255951,0:08:54.821178
0.9734907150268555,0.9519592523574829,0.06509365141391754,0.11660299450159073,0:08:49.126422
0.9742373824119568,0.9643730521202087,0.06303288042545319,0.08808205276727676,0:08:48.079894
0.9757672548294067,0.965984582901001,0.05931369587779045,0.08985047042369843,0:09:09.852773
0.9766741394996643,0.9713144302368164,0.05704040825366974,0.07362762093544006,0:08:56.875240
0.9763755202293396,0.9368941783905029,0.057838305830955505,0.16381244361400604,0:08:55.831492
0.9759048819541931,0.9650577306747437,0.059009045362472534,0.08864249289035797,0:09:01.606308
0.9770062565803528,0.9735328555107117,0.05611936375498772,0.06669361144304276,0:08:48.059683
0.977535605430603,0.9717603921890259,0.0550495944917202,0.07271172106266022,0:08:55.792193
0.9794138073921204,0.9702334403991699,0.05028686299920082,0.08076123893260956,0:09:03.746010
0.9794632196426392,0.9620845913887024,0.04993535205721855,0.10373971611261368,0:08:56.703908
0.9792670607566833,0.9758244156837463,0.05059748888015747,0.06215118616819382,0:08:52.645165
0.9800496101379395,0.9632135629653931,0.048839546740055084,0.09597521275281906,0:09:03.999478
0.9805631637573242,0.9696787595748901,0.04764995723962784,0.09190326184034348,0:08:36.098531
0.9809659123420715,0.9691858887672424,0.04682375118136406,0.07968465238809586,0:08:50.827195
0.98067706823349,0.9703945517539978,0.04720906540751457,0.07563339173793793,0:09:12.211810
0.9817109704017639,0.977243959903717,0.04494861513376236,0.058116812258958817,0:09:04.245505
0.9838700294494629,0.9806748032569885,0.03928559646010399,0.050663042813539505,0:08:55.194978
0.9848697185516357,0.9800585508346558,0.03671368584036827,0.05367880314588547,0:09:02.872017
0.9848470091819763,0.9814125895500183,0.03683263808488846,0.04999677836894989,0:08:50.094457
0.985131025314331,0.9743295907974243,0.03619106486439705,0.06972713023424149,0:08:45.492930
0.9848200082778931,0.9816379547119141,0.037074584513902664,0.049809664487838745,0:09:05.657329
0.9860019683837891,0.9751280546188354,0.03406008332967758,0.07444396615028381,0:08:54.431233
0.985681414604187,0.9818456768989563,0.03479893505573273,0.05225450173020363,0:09:05.886083
0.9855482578277588,0.9794782996177673,0.03523722290992737,0.05423774942755699,0:09:06.812190
0.9866670966148376,0.9822307825088501,0.03235768899321556,0.047955043613910675,0:08:47.395770
0.986882746219635,0.9731125831604004,0.031827375292778015,0.09503047913312912,0:08:54.019823
0.9873060584068298,0.9826807379722595,0.030903028324246407,0.04729808121919632,0:09:03.077379
0.9875056743621826,0.9818305969238281,0.030283667147159576,0.051692742854356766,0:08:43.834988
0.9872564673423767,0.9829465746879578,0.031021179631352425,0.04818427190184593,0:08:57.738916
0.9879699945449829,0.9817975759506226,0.02910551056265831,0.052155595272779465,0:09:03.618110
0.9880666136741638,0.9832494258880615,0.028876105323433876,0.0474553145468235,0:09:01.178944
0.9873015284538269,0.9717618823051453,0.031436845660209656,0.07822389155626297,0:09:12.597587
0.9873939752578735,0.9826142191886902,0.03068784438073635,0.04878900200128555,0:08:52.931673
0.9883583188056946,0.9804450273513794,0.028150372207164764,0.05785897374153137,0:08:52.646078
0.988541841506958,0.9835214018821716,0.02772662602365017,0.04877427965402603,0:09:10.651058
0.9877886176109314,0.9808045029640198,0.029805006459355354,0.054126691073179245,0:08:55.687427
