train_accuracy,cross_val_accuracy,train_loss,cross_val_loss,time
0.9282295107841492,0.9295350909233093,0.1746593564748764,0.20505718886852264,0:06:39.000239
0.9504427909851074,0.9488073587417603,0.12084914743900299,0.12561553716659546,0:06:15.193422
0.9569529294967651,0.9456650018692017,0.10485625267028809,0.13445910811424255,0:06:30.271798
0.9618903994560242,0.9472397565841675,0.09346971660852432,0.13446427881717682,0:06:19.487007
0.965104341506958,0.9573713541030884,0.0848626047372818,0.10944157838821411,0:06:16.347195
0.9670839905738831,0.9520220160484314,0.08020693808794022,0.13812607526779175,0:06:19.711382
0.9690573215484619,0.9507617950439453,0.07590985298156738,0.12471979111433029,0:06:11.380330
0.9714666604995728,0.9607572555541992,0.06975817680358887,0.10043450444936752,0:06:05.928028
0.9725679159164429,0.9447963237762451,0.06766177713871002,0.1403246968984604,0:06:20.046438
0.9743371605873108,0.9679497480392456,0.06275224685668945,0.07860243320465088,0:06:25.256953
0.978217363357544,0.9732347130775452,0.0529421828687191,0.06589571386575699,0:06:08.357368
0.9800639152526855,0.9719406366348267,0.048479314893484116,0.07549820840358734,0:06:04.889570
0.9802108407020569,0.9675201773643494,0.04808449372649193,0.09061340987682343,0:06:20.060744
0.9814523458480835,0.9694311618804932,0.045108456164598465,0.08487759530544281,0:06:07.851632
0.9816355109214783,0.9706488847732544,0.04477672651410103,0.07627222687005997,0:06:04.675429
0.9826826453208923,0.9718307852745056,0.04224337637424469,0.07973115891218185,0:06:20.961773
0.9828382730484009,0.9716936945915222,0.04200040176510811,0.07563353329896927,0:06:10.172397
0.983420729637146,0.9735170006752014,0.040257714688777924,0.0740095004439354,0:06:11.653372
0.9838358163833618,0.9673219919204712,0.03937062621116638,0.08729342371225357,0:06:16.241664
0.9844143986701965,0.974301278591156,0.03784283995628357,0.07321388274431229,0:06:10.854769
0.98467618227005,0.9712316989898682,0.03737803176045418,0.08415856957435608,0:06:10.789044
0.9842410683631897,0.974834144115448,0.03835688903927803,0.06892839819192886,0:06:13.788207
0.9853495359420776,0.9609989523887634,0.035683173686265945,0.11325400322675705,0:06:10.379736
0.9855037927627563,0.9770686626434326,0.03525794669985771,0.06254492700099945,0:06:16.744110
0.986571192741394,0.9678154587745667,0.032624419778585434,0.10957611352205276,0:06:17.382980
0.9850956201553345,0.974280595779419,0.03640306368470192,0.07219486683607101,0:06:11.507735
0.9865488409996033,0.9764965772628784,0.03264371305704117,0.07097090780735016,0:06:04.680772
0.9872240424156189,0.9711428880691528,0.030917268246412277,0.08515132963657379,0:06:07.217864
0.9868039488792419,0.973660945892334,0.03216822072863579,0.07494702190160751,0:06:12.380150
0.9870430827140808,0.9746755957603455,0.03145873174071312,0.07484312355518341,0:06:18.649359
0.9880566000938416,0.9791393280029297,0.028922148048877716,0.06019087880849838,0:06:02.726367
0.988806962966919,0.9787067770957947,0.02704026736319065,0.06148765981197357,0:05:59.458198
0.9890448451042175,0.979617714881897,0.02639341726899147,0.06067532300949097,0:06:09.357550
0.9894424676895142,0.9786977767944336,0.025433527305722237,0.0652252584695816,0:06:16.371152
0.9894788265228271,0.979637622833252,0.02533043920993805,0.06324606388807297,0:06:10.725725
0.989677369594574,0.9794243574142456,0.024967050179839134,0.060879841446876526,0:06:10.523018
0.989990234375,0.9796505570411682,0.024068720638751984,0.06490879505872726,0:06:09.803813
0.9899623990058899,0.9781100153923035,0.02420775219798088,0.06773114949464798,0:06:24.989715
0.9900280833244324,0.9797031879425049,0.023977341130375862,0.06435048580169678,0:06:06.707150
0.9903459548950195,0.9785499572753906,0.02318371646106243,0.06942501664161682,0:06:07.002689
0.9904676675796509,0.9796106815338135,0.022893570363521576,0.06676122546195984,0:06:06.288561
0.9906459450721741,0.9788896441459656,0.02243702858686447,0.06916891038417816,0:06:10.390635
0.9907607436180115,0.9797205328941345,0.022184766829013824,0.06743177771568298,0:06:05.763735
0.9909128546714783,0.9790205359458923,0.021769855171442032,0.07108255475759506,0:06:21.080998
0.9902514219284058,0.979623556137085,0.023546893149614334,0.06648839265108109,0:06:03.628774
0.9907834529876709,0.9787529110908508,0.022175416350364685,0.06890644133090973,0:06:29.873877
0.9910964369773865,0.9798957705497742,0.021334044635295868,0.0674801617860794,0:06:13.425972
0.9911174774169922,0.9791334271430969,0.0212877094745636,0.07030807435512543,0:06:01.222708
0.9913890361785889,0.9798336625099182,0.020586811006069183,0.07041437923908234,0:06:06.685292
0.9914554953575134,0.9793637990951538,0.02041851170361042,0.07349187880754471,0:06:02.423624
